player_name,player_id,dob,last_game,elo,game_count,draft_info,draft_year,player_country,draft_oa,draft_league,Term,AAV,Pos,Team
Ryan Murray,8476850,9/27/1993,5/13/2016 13:04,1508.05796,100,2 OA (2012 CBJ),2012,CAN,2,WHL,3,3525000,D,BlueJackets
Alex Galchenyuk,8476851,2/12/1994,4/28/2016 11:50,1524.96109,92,3 OA (2012 MTL),2012,USA,3,OHL,2,2800000,LW,Canadiens
Griffin Reinhart,8476852,1/24/1994,5/24/2016 11:31,1486.58129,77,4 OA (2012 NYI),2012,CAN,4,WHL,3,3275000,D,Oilers
Morgan Rielly,8476853,3/9/1994,4/14/2016 19:13,1518.64718,83,5 OA (2012 TOR),2012,CAN,5,WHL,6,5000000,D,MapleLeafs
Hampus Lindholm,8476854,1/20/1994,5/24/2016 11:59,1531.2722,102,6 OA (2012 ANA),2012,SWE,6,SWEDEN,3,1775000,D,Ducks
Derrick Pouliot,8476884,1/16/1994,5/24/2016 11:12,1503.54252,58,8 OA (2012 PIT),2012,CAN,8,WHL,3,1288167,D,Penguins
Jacob Trouba,8476885,2/26/1994,5/24/2016 11:31,1514.20583,69,9 OA (2012 WPG),2012,USA,9,USHL,3,1858333,D,Jets
Filip Forsberg,8476887,8/13/1994,5/24/2016 11:50,1519.48333,79,11 OA (2012 WSH),2012,SWE,11,SWEDEN,3,1491667,LW,Predators
Radek Faksa,8476889,1/9/1994,5/24/2016 11:56,1495.93197,15,13 OA (2012 DAL),2012,CZE,13,OHL,3,1400000,C,Stars
Zemgus Girgensons,8476878,1/5/1994,4/28/2016 11:50,1488.32077,92,14 OA (2012 BUF),2012,LVA,14,USHL,3,1400000,C,Sabres
Cody Ceci,8476879,12/21/1993,5/3/2016 20:20,1493.8867,91,15 OA (2012 OTT),2012,CAN,15,OHL,3,1400000,D,Senators
Tomas Hertl,8476881,11/12/1993,5/13/2016 12:55,1517.92773,90,17 OA (2012 SJS),2012,CZE,17,CZECH,3,1350000,RW,Sharks
Teuvo Teravainen,8476882,9/11/1994,5/24/2016 11:34,1504.98854,74,18 OA (2012 CHI),2012,FIN,18,FINLAND,3,1425000,RW,Blackhawks
Scott Laughton,8476872,5/30/1994,5/13/2016 12:48,1485.40008,55,20 OA (2012 PHI),2012,CAN,20,OHL,3,1137500,C,Flyers
Olli Maatta,8476874,8/22/1994,4/20/2016 18:32,1517.62549,93,22 OA (2012 PIT),2012,FIN,22,OHL,6,4083333,D,Penguins
Brendan Gaunce,8476867,3/25/1994,5/17/2016 8:00,1497.62782,15,26 OA (2012 VAN),2012,CAN,26,OHL,3,1087500,D,Canucks
Stefan Matteau,8476870,2/23/1994,5/24/2016 11:41,1490.14928,24,29 OA (2012 NJD),2012,USA,29,USHL,2,612500,LW,Canadiens
Tanner Pearson,8476871,8/10/1992,3/2/2016 9:51,1502.2726,71,30 OA (2012 LAK),2012,CAN,30,OHL,2,1400000,LW,Kings
Phillip Di Giuseppe,8476858,10/9/1993,4/28/2016 11:38,1498.31299,7,38 OA (2012 CAR),2012,CAN,38,CCHA,3,925000,LW,Hurricanes
Jake McCabe,8476931,10/12/1993,5/24/2016 10:54,1491.92373,47,44 OA (2012 BUF),2012,USA,44,WCHA,3,925000,D,Sabres
Colton Sissons,8476925,11/5/1993,5/24/2016 10:52,1494.44864,21,50 OA (2012 NSH),2012,CAN,50,WHL,3,625000,C,Predators
Chris Tierney,8476919,7/1/1994,4/29/2016 16:02,1496.87547,41,55 OA (2012 SJS),2012,CAN,55,OHL,3,925000,C,Sharks
Jordan Martinook,8476921,7/25/1992,5/24/2016 11:36,1486.01992,40,58 OA (2012 PHX),2012,CAN,58,WHL,2,612500,LW,Coyotes
Damon Severson,8476923,8/7/1994,4/13/2016 12:53,1502.26796,92,60 OA (2012 NJD),2012,CAN,60,WHL,3,950000,D,Devils
Adam Pelech,8476917,8/16/1994,5/24/2016 10:53,1497.63855,14,65 OA (2012 NYI),2012,CAN,65,OHL,3,925000,D,Islanders
Shayne Gostisbehere,8476906,4/20/1993,5/13/2016 12:37,1505.76092,19,78 OA (2012 PHI),2012,USA,78,ECAC,3,1420833,D,Flyers
Colton Parayko,8476892,5/12/1993,5/24/2016 11:35,1507.60533,52,86 OA (2012 STL),2012,CAN,86,AJHL,2,905000,D,Blues
Erik Gustafsson,8476979,3/14/1992,4/28/2016 11:39,1496.77105,17,93 OA (2012 EDM),2012,SWE,93,SWEDEN,2,667500,D,Blackhawks
Cedric Paquette,8476975,8/13/1993,5/24/2016 11:41,1480.19325,94,101 OA (2012 TBL),2012,CAN,101,QMJHL,3,925000,RW,Lightning
Andreas Athanasiou,8476960,8/6/1994,5/17/2016 8:02,1497.8968,18,110 OA (2012 DET),2012,CAN,110,OHL,3,933333,LW,RedWings
Jaccob Slavin,8476958,5/1/1994,5/24/2016 11:26,1498.62467,10,120 OA (2012 CAR),2012,USA,120,USHL,3,925000,D,Hurricanes
Charles Hudon,8476948,6/23/1994,5/13/2016 12:37,1499.53106,1,122 OA (2012 MTL),2012,CAN,122,QMJHL,3,650000,LW,Canadiens
Connor Carrick,8476941,4/13/1994,4/14/2016 18:31,1499.47081,7,137 OA (2012 WSH),2012,USA,137,USHL,3,636667,D,MapleLeafs
Ben Hutton,8477018,4/20/1993,5/24/2016 10:55,1501.04012,43,147 OA (2012 VAN),2012,CAN,147,CCHL,2,896250,D,Canucks
Joseph Blandisi,8477010,7/18/1994,3/2/2016 16:23,1497.02057,7,162 OA (2012 COL),2012,CAN,162,OHL,3,648333,RW,Devils
Viktor Loov,8477033,11/16/1992,5/13/2016 12:36,1497.7619,17,209 OA (2012 TOR),2012,SWE,209,SWEDEN-2,3,925000,D,MapleLeafs
Ryan Nugent-Hopkins,8476454,4/12/1993,3/28/2016 22:13,1517.75993,102,1 OA (2011 EDM),2011,CAN,1,WHL,7,6000000,C,Oilers
Gabriel Landeskog,8476455,11/23/1992,2/8/2016 21:01,1524.68381,82,2 OA (2011 COL),2011,SWE,2,OHL,7,5571429,LW,Avalanche
Jonathan Huberdeau,8476456,6/4/1993,5/24/2016 10:51,1528.38703,86,3 OA (2011 FLA),2011,CAN,3,QMJHL,2,3250000,C,Panthers
Adam Larsson,8476457,11/12/1992,5/24/2016 10:33,1509.37103,59,4 OA (2011 NJD),2011,SWE,4,SWEDEN,6,4166667,D,Devils
Ryan Strome,8476458,7/11/1993,4/29/2016 15:52,1527.15572,86,5 OA (2011 NYI),2011,CAN,5,OHL,3,1775000,RW,Islanders
Mika Zibanejad,8476459,4/18/1993,5/13/2016 12:37,1510.96837,99,6 OA (2011 OTT),2011,SWE,6,SWEDEN,2,2625000,C,Senators
Mark Scheifele,8476460,3/15/1993,5/13/2016 13:03,1517.17064,96,7 OA (2011 WPG),2011,CAN,7,OHL,3,1625000,C,Jets
Sean Couturier,8476461,12/7/1992,4/28/2016 11:41,1515.66387,93,8 OA (2011 PHI),2011,USA,8,QMJHL,6,4333333,C,Flyers
Dougie Hamilton,8476462,6/17/1993,5/3/2016 20:20,1521.48351,94,9 OA (2011 BOS),2011,CAN,9,OHL,6,5750000,D,Flames
Jonas Brodin,8476463,7/12/1993,4/14/2016 18:54,1511.50334,94,10 OA (2011 MIN),2011,SWE,10,SWEDEN,6,4166667,D,Wild
Ryan Murphy,8476465,3/31/1993,5/24/2016 11:35,1504.95059,92,12 OA (2011 CAR),2011,CAN,12,OHL,3,1375000,D,Hurricanes
Sven Baertschi,8476466,10/5/1992,3/2/2016 9:57,1494.11396,28,13 OA (2011 CGY),2011,CHE,13,WHL,1,900000,LW,Canucks
Jamie Oleksiak,8476467,12/21/1992,5/24/2016 10:53,1503.28498,41,14 OA (2011 DAL),2011,CAN,14,H-EAST,1,875000,D,Stars
J.T. Miller,8476468,3/14/1993,5/17/2016 7:46,1498.41592,94,15 OA (2011 NYR),2011,USA,15,USHL,1,874000,RW,Rangers
Joel Armia,8476469,5/31/1993,3/2/2016 16:25,1498.60277,7,16 OA (2011 BUF),2011,FIN,16,FINLAND,3,925000,RW,Jets
Nathan Beaulieu,8476470,12/5/1992,5/13/2016 12:29,1491.29534,123,17 OA (2011 MTL),2011,CAN,17,QMJHL,2,1000000,D,Canadiens
Oscar Klefbom,8476472,7/20/1993,5/24/2016 11:36,1502.77595,105,19 OA (2011 EDM),2011,SWE,19,SWEDEN,7,4167000,D,Oilers
Connor Murphy,8476473,3/26/1993,5/17/2016 9:01,1489.74031,68,20 OA (2011 PHX),2011,USA,20,USHL,3,1137500,D,Coyotes
Joe Morrow,8476476,12/9/1992,5/24/2016 11:28,1489.95185,45,23 OA (2011 PIT),2011,CAN,23,WHL,3,925000,D,Bruins
Matt Puempel,8476477,1/24/1993,5/11/2016 4:48,1491.73039,65,24 OA (2011 OTT),2011,CAN,24,OHL,3,925000,LW,Senators
Phillip Danault,8476479,2/24/1993,5/24/2016 12:06,1498.48093,7,26 OA (2011 CHI),2011,CAN,26,QMJHL,3,1025000,LW,Canadiens
Vladislav Namestnikov,8476480,11/22/1992,5/24/2016 11:37,1500.90339,116,27 OA (2011 TBL),2011,RUS,27,OHL,1,874125,LW,Lightning
Rickard Rakell,8476483,5/5/1993,3/28/2016 22:31,1499.74048,90,30 OA (2011 ANA),2011,SWE,30,OHL,3,925000,C,Ducks
Tomas Jurco,8476430,12/28/1992,3/15/2016 22:36,1498.43564,70,35 OA (2011 DET),2011,SVK,35,QMJHL,2,900000,RW,RedWings
Adam Clendening,8476431,10/26/1992,5/24/2016 11:37,1487.51283,73,36 OA (2011 CHI),2011,USA,36,H-EAST,1,761250,D,Oilers
Boone Jenner,8476432,6/15/1993,4/28/2016 11:40,1500.98821,121,37 OA (2011 CBJ),2011,CAN,37,OHL,3,925000,LW,BlueJackets
Dmitrij Jaskin,8476436,3/23/1993,3/16/2016 16:24,1490.11005,87,41 OA (2011 STL),2011,RUS,41,CZREP,1,775000,LW,Blues
Victor Rask,8476437,3/1/1993,5/24/2016 11:37,1503.10381,121,42 OA (2011 CAR),2011,SWE,42,SWEDEN-2,3,925000,C,Hurricanes
Brandon Saad,8476438,10/27/1992,5/13/2016 12:52,1526.32342,83,43 OA (2011 CHI),2011,USA,43,OHL,6,6000000,RW,BlueJackets
Brett Ritchie,8476439,7/1/1993,12/5/2015 22:38,1498.52212,21,44 OA (2011 DAL),2011,CAN,44,OHL,3,925000,RW,Stars
Markus Granlund,8476440,4/16/1993,5/17/2016 7:43,1489.51852,104,45 OA (2011 CGY),2011,FIN,45,FINLAND-JR.,2,900000,C,Canucks
Joel Edmundson,8476441,6/28/1993,5/24/2016 11:12,1487.53237,44,46 OA (2011 STL),2011,CAN,46,WHL,2,1050000,D,Blues
Matt Nieto,8476442,11/5/1992,5/17/2016 8:00,1497.10508,89,47 OA (2011 SJS),2011,USA,47,H-EAST,3,925000,LW,Sharks
Miikka Salomaki,8476447,3/9/1993,4/14/2016 18:25,1500.24244,7,52 OA (2011 NSH),2011,FIN,52,FINLAND,2,612500,LW,Predators
William Karlsson,8476448,1/8/1993,5/13/2016 13:01,1502.23631,14,53 OA (2011 ANA),2011,SWE,53,SWE-JR.,3,830833,C,BlueJackets
Lucas Lessio,8476451,1/23/1993,5/24/2016 11:43,1499.38075,3,56 OA (2011 PHX),2011,CAN,56,OHL,3,925000,LW,Canadiens
Nikita Kucherov,8476453,6/17/1993,5/17/2016 7:47,1528.15832,70,58 OA (2011 TBL),2011,RUS,58,RUSSIA-JR.,3,925000,RW,Lightning
Shane Prince,8476386,11/16/1992,5/24/2016 11:40,1493.33808,58,61 OA (2011 OTT),2011,USA,61,OHL,1,700000,LW,Islanders
Vincent Trocheck,8476389,7/11/1993,5/17/2016 7:42,1502.03316,102,64 OA (2011 FLA),2011,USA,64,OHL,3,925000,C,Panthers
Adam Lowry,8476392,3/29/1993,4/20/2016 18:27,1488.13945,85,67 OA (2011 WPG),2011,USA,67,WHL,3,925000,C,Jets
Nick Cousins,8476393,7/20/1993,4/13/2016 13:26,1488.45701,61,68 OA (2011 PHI),2011,CAN,68,OHL,3,955833,C,Flyers
Logan Shaw,8476400,10/5/1992,2/4/2016 21:40,1496.45058,6,76 OA (2011 FLA),2011,CAN,76,QMJHL,3,674167,RW,Panthers
Daniel Catenacci,8476401,3/9/1993,5/17/2016 7:47,1496.16132,16,77 OA (2011 BUF),2011,CAN,77,OHL,3,833333,C,Sabres
Klas Dahlbeck,8476403,7/6/1991,5/24/2016 11:28,1480.42703,96,79 OA (2011 CHI),2011,SWE,79,SWEDEN,1,605000,D,Coyotes
Andy Andreoff,8476404,5/17/1991,3/2/2016 16:24,1475.45036,91,80 OA (2011 LAK),2011,CAN,80,OHL,2,587500,LW,Kings
Nick Shore,8476406,9/26/1992,5/13/2016 13:04,1472.50512,124,82 OA (2011 LAK),2011,USA,82,WCHA,2,600000,C,Kings
Kyle Rau,8476415,10/24/1992,5/17/2016 8:02,1497.11465,12,91 OA (2011 FLA),2011,USA,91,HIGH-MN,2,858750,C,Panthers
Jean-Gabriel Pageau,8476419,11/11/1992,5/13/2016 12:48,1499.5305,98,96 OA (2011 OTT),2011,CAN,96,QMJHL,2,900000,C,Senators
Mike Reilly,8476422,7/13/1993,5/24/2016 11:40,1488.13551,66,98 OA (2011 CBJ),2011,USA,98,HIGH-MN,2,2025000,D,Wild
Reid Boucher,8476423,9/8/1993,5/24/2016 11:33,1491.31604,26,99 OA (2011 NJD),2011,USA,99,USHL,3,692500,LW,Devils
Johnny Gaudreau,8476346,8/13/1993,4/28/2016 11:39,1523.05463,80,104 OA (2011 CGY),2011,USA,104,USHL,3,1850000,LW,Flames
Tobias Rieder,8476356,1/10/1993,5/24/2016 11:40,1486.64928,72,114 OA (2011 EDM),2011,DEU,114,OHL,3,925000,RW,Coyotes
Darren Dietz,8476379,7/17/1993,5/24/2016 10:54,1496.07217,20,138 OA (2011 MTL),2011,CAN,138,WHL,3,900000,D,Canadiens
Andrew Shaw,8476381,7/20/1991,5/24/2016 11:42,1499.2342,117,139 OA (2011 CHI),2011,CAN,139,OHL,2,2000000,C,Blackhawks
Nikita Nesterov,8476300,3/28/1993,5/17/2016 9:02,1495.68172,109,148 OA (2011 TBL),2011,RUS,148,RUSSIA-JR.,3,1017000,D,Lightning
Frank Corrado,8476302,3/26/1993,5/24/2016 11:40,1482.51088,97,150 OA (2011 VAN),2011,CAN,150,OHL,1,632500,D,MapleLeafs
Josh Manson,8476312,10/7/1991,5/24/2016 10:59,1496.7473,43,160 OA (2011 ANA),2011,CAN,160,BCHL,2,825000,D,Ducks
Iiro Pakarinen,8476336,8/25/1991,5/13/2016 12:39,1496.539,7,184 OA (2011 FLA),2011,FIN,184,FINLAND,2,925000,RW,Oilers
Jyrki Jokipakka,8476279,8/20/1991,5/24/2016 11:41,1481.19589,103,195 OA (2011 DAL),2011,FIN,195,FINLAND,2,900000,D,Flames
Ryan Dzingel,8476288,3/9/1992,5/24/2016 11:35,1499.18631,2,204 OA (2011 OTT),2011,USA,204,USHL,2,900000,C,Senators
Ondrej Palat,8476292,3/28/1991,5/24/2016 11:36,1534.98147,107,208 OA (2011 TBL),2011,CZE,208,QMJHL,3,3333333,LW,Lightning
Scott Wilson,8476293,4/24/1992,5/13/2016 12:39,1500,1,209 OA (2011 PIT),2011,CAN,209,OJHL,2,625000,LW,Penguins
Taylor Hall,8475791,11/14/1991,5/24/2016 11:43,1528.00154,86,1 OA (2010 EDM),2010,CAN,1,OHL,7,6000000,RW,Oilers
Tyler Seguin,8475794,1/31/1992,5/24/2016 11:51,1545.34472,119,2 OA (2010 BOS),2010,CAN,2,OHL,6,5750000,C,Stars
Erik Gudbranson,8475790,1/7/1992,5/13/2016 12:30,1496.58487,84,3 OA (2010 FLA),2010,CAN,3,OHL,1,3500000,D,Panthers
Ryan Johansen,8475793,7/31/1992,5/24/2016 11:36,1535.21556,105,4 OA (2010 CBJ),2010,CAN,4,WHL,3,4000000,C,Predators
Nino Niederreiter,8475799,9/8/1992,5/24/2016 11:42,1513.87336,78,5 OA (2010 NYI),2010,CHE,5,WHL,3,2666667,LW,Wild
Brett Connolly,8475792,5/2/1992,5/24/2016 11:42,1497.37294,112,6 OA (2010 TBL),2010,CAN,6,WHL,1,1025000,RW,Bruins
Jeff Skinner,8475784,5/16/1992,5/13/2016 12:48,1514.23683,78,7 OA (2010 CAR),2010,CAN,7,OHL,6,5725000,LW,Hurricanes
Alexander Burmistrov,8475788,10/21/1991,3/28/2016 22:20,1500.65419,115,8 OA (2010 ATL),2010,RUS,8,OHL,2,1550000,C,Jets
Mikael Granlund,8475798,2/26/1992,5/13/2016 12:38,1506.02788,98,9 OA (2010 MIN),2010,FIN,9,FINLAND,2,3000000,C,Wild
Dylan McIlrath,8475795,4/20/1992,5/24/2016 11:38,1492.64605,41,10 OA (2010 NYR),2010,CAN,10,WHL,1,600000,D,Rangers
Cam Fowler,8475764,12/5/1991,4/11/2016 19:16,1528.08314,109,12 OA (2010 ANA),2010,CAN,12,OHL,5,4000000,D,Ducks
Jaden Schwartz,8475768,6/25/1992,2/8/2016 21:10,1524.36262,90,14 OA (2010 STL),2010,CAN,14,USHL,2,2350000,LW,Blues
Vladimir Tarasenko,8475765,12/13/1991,5/13/2016 13:01,1541.10633,102,16 OA (2010 STL),2010,RUS,16,RUSSIA,8,7500000,RW,Blues
Austin Watson,8475766,1/13/1992,4/29/2016 15:57,1480.70553,85,18 OA (2010 NSH),2010,USA,18,OHL,1,575000,C,Predators
Nick Bjugstad,8475760,7/17/1992,4/29/2016 15:55,1516.68787,102,19 OA (2010 FLA),2010,USA,19,HIGH-MN,6,4100000,C,Panthers
Beau Bennett,8475761,11/27/1991,5/17/2016 8:00,1489.12282,91,20 OA (2010 PIT),2010,USA,20,BCHL,1,800000,RW,Penguins
Riley Sheahan,8475772,12/7/1991,4/13/2016 12:57,1495.62643,100,21 OA (2010 DET),2010,CAN,21,CCHA,2,950000,LW,RedWings
Mark Pysyk,8475796,1/11/1992,5/24/2016 11:39,1502.42612,54,23 OA (2010 BUF),2010,CAN,23,WHL,2,1125000,D,Sabres
Kevin Hayes,8475763,5/8/1992,5/24/2016 11:34,1514.62427,83,24 OA (2010 CHI),2010,USA,24,HIGH-MA,2,3750000,C,Rangers
Quinton Howden,8475769,1/21/1992,5/24/2016 11:39,1485.91604,54,25 OA (2010 FLA),2010,CAN,25,WHL,1,850500,LW,Panthers
Evgeny Kuznetsov,8475744,5/19/1992,4/14/2016 7:47,1519.34827,114,26 OA (2010 WSH),2010,RUS,26,RUSSIA,2,3000000,C,Capitals
Charlie Coyle,8475745,3/2/1992,4/20/2016 18:31,1501.23801,98,28 OA (2010 SJS),2010,USA,28,EJHL,5,3200000,C,Wild
Emerson Etem,8475770,6/16/1992,5/24/2016 11:44,1492.7212,87,29 OA (2010 ANA),2010,USA,29,WHL,1,850500,LW,Canucks
Brock Nelson,8475754,10/15/1991,2/12/2016 17:32,1516.22067,110,30 OA (2010 NYI),2010,USA,30,HIGH-MN,3,2500000,C,Islanders
Alex Petrovic,8475755,3/3/1992,4/12/2016 18:54,1483.44461,78,36 OA (2010 FLA),2010,CAN,36,WHL,2,1050000,D,Panthers
Justin Faulk,8475753,3/20/1992,5/24/2016 11:32,1530.49303,94,37 OA (2010 CAR),2010,USA,37,USHL,6,4833333,D,Hurricanes
Jon Merrill,8475750,2/3/1992,4/12/2016 19:12,1491.83119,98,38 OA (2010 NJD),2010,USA,38,USHL,3,900000,D,Devils
Patrik Nemeth,8475747,2/8/1992,4/14/2016 18:57,1482.22504,92,41 OA (2010 DAL),2010,SWE,41,SWE-JR.,2,900000,D,Stars
Devante Smith-Pelly,8475758,6/14/1992,5/13/2016 12:33,1493.47381,78,42 OA (2010 ANA),2010,CAN,42,OHL,2,800000,RW,Devils
Ryan Spooner,8475727,1/30/1992,5/13/2016 13:03,1512.5513,122,45 OA (2010 BOS),2010,CAN,45,OHL,2,950000,C,Bruins
Martin Marincin,8475716,2/18/1992,5/13/2016 12:36,1486.54338,118,46 OA (2010 EDM),2010,SVK,46,SLOVAKIA,1,700000,D,MapleLeafs
Tyler Toffoli,8475726,4/24/1992,4/25/2016 6:31,1521.57763,115,47 OA (2010 LAK),2010,CAN,47,OHL,2,3250000,RW,Kings
Calle Jarnkrok,8475714,9/25/1991,5/20/2016 13:24,1492.44217,116,51 OA (2010 DET),2010,SWE,51,SWEDEN,1,735000,C,Predators
Johan Larsson,8475728,7/25/1992,3/2/2016 16:23,1485.36454,79,56 OA (2010 MIN),2010,SWE,56,SWE-JR.,1,950000,LW,Sabres
Oscar Lindberg,8475715,10/29/1991,3/28/2016 17:06,1493.48776,49,57 OA (2010 PHX),2010,SWE,57,SWE-JR.,2,650000,C,Rangers
Jason Zucker,8475722,1/16/1992,5/17/2016 8:02,1505.13694,96,59 OA (2010 MIN),2010,USA,59,USHL,2,900250,LW,Wild
Stephen Johns,8475730,4/18/1992,5/24/2016 10:54,1499.09446,16,60 OA (2010 CHI),2010,USA,60,USHL,2,725000,D,Stars
Radko Gudas,8475462,6/5/1990,5/24/2016 11:27,1495.93055,87,66 OA (2010 TBL),2010,CZE,66,WHL,3,991667,D,Flyers
